Bảo dưỡng điều hòa,Trung bình,Cần đóng tiền bảo dưỡng điều hòa,2025-09-23 12:55:03
Bảo dưỡng điều hòa,Trung bình,Cần đóng tiền bảo dưỡng điều hòa,2025-09-23 12:54:58
Bảo dưỡng điều hòa,Trung bình,Cần đóng tiền bảo dưỡng điều hòa,2025-09-23 12:54:53
Bảo dưỡng điều hòa,Trung bình,Cần đóng tiền bảo dưỡng điều hòa,2025-09-23 12:54:48
Bảo dưỡng điều hòa,Trung bình,Cần đóng tiền bảo dưỡng điều hòa,2025-09-23 12:54:43
Cháy nổ,Trung bình,Có đám cháy nhỏ dưới hầm để xe,2025-09-25 13:16:48
Cháy nổ,Trung bình,Có đám cháy nhỏ dưới hầm để xe,2025-09-25 13:17:01
Cháy nổ,Trung bình,Có đám cháy nhỏ dưới hầm để xe,2025-09-25 13:17:11
Cháy nổ,Trung bình,Có đám cháy nhỏ dưới hầm để xe,2025-09-25 13:17:16
Cháy nổ,Trung bình,Có đám cháy nhỏ dưới hầm để xe,2025-09-25 13:17:24
Cháy nổ,Trung bình,Có đám cháy nhỏ dưới hầm để xe,2025-09-25 13:17:45
Mất điện,Thường,Mất điện vào lúc 14h tại tầng 1 ngày hôm nay !,2025-09-25 14:38:21
Mất điện,Thường,Mất điện vào lúc 14h tại tầng 1 ngày hôm nay !,2025-09-25 14:38:32
Mất điện,Trung bình,Mất điện vào lúc 14h tại tầng 1 ngày hôm nay !,2025-09-25 14:38:44
Mất điện,Trung bình,Mất điện vào lúc 14h tại tầng 1 ngày hôm nay !,2025-09-25 14:38:49
Mất điện,Trung bình,Mất điện vào lúc 14h tại tầng 1 ngày hôm nay !,2025-09-25 14:38:54
Mất điện,Trung bình,Mất điện vào lúc 14h tại tầng 1 ngày hôm nay !,2025-09-25 14:38:59
Mất điện,Cao,Mất điện tầng 1 !,2025-09-25 14:42:18
Thang máy,Trung bình,Hỏng thang máy các tầng 4,5,6 !,2025-09-25 14:50:48
Thang máy,Trung bình,Hỏng thang máy các tầng 4,5,6 !,2025-09-25 14:50:57
Thang máy,Trung bình,Hỏng thang máy các tầng 4,5,6 !,2025-09-25 14:51:02
Thang máy,Trung bình,Hỏng thang máy các tầng 4,5,6 !,2025-09-25 14:51:07
Thang máy,Trung bình,Hỏng thang máy các tầng 4,5,6 !,2025-09-25 14:51:12
Thang máy,Trung bình,Hỏng thang máy các tầng 4,5,6 !,2025-09-25 14:51:17
Mất điện,Trung bình,Mất điện vào lúc 14h tại tầng 2,2025-09-25 15:05:41
Mất điện,Trung bình,Mất điện vào lúc 14h tại tầng 2,2025-09-25 15:05:54
Mất điện,Trung bình,Mất điện vào lúc 14h tại tầng 2,2025-09-25 15:06:14
Mất điện,Trung bình,Mất điện vào lúc 14h tại tầng 2,2025-09-25 15:06:09
Mất điện,Trung bình,Mất điện vào lúc 14h tại tầng 2,2025-09-25 15:06:04
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:48:55
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:50:33
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:50:28
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:50:23
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:50:18
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:50:13
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:50:08
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:50:03
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:49:58
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:49:53
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:49:48
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:49:43
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:49:38
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:49:33
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:49:28
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:49:23
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:49:18
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:49:13
Mất điện,Trung bình,Cắt diênjhjjh,2025-09-25 15:49:08
Cháy nổ,Thường,Có đám cháy nhỏ ở tầng 2,2025-10-04 11:24:55
Cháy nổ,Thường,Có đám cháy nhỏ ở tầng 2,2025-10-04 11:25:01
Cháy nổ,Thường,Có đám cháy nhỏ ở tầng 2,2025-10-04 11:25:10
Cháy nổ,Thường,Có đám cháy nhỏ ở tầng 2,2025-10-04 11:25:15
